username,name,founder_url,company_link,title,time,location,company_id,com_name,com_description,com_vertical,com_industry,com_location,com_city,com_state,com_country,com_follower,com_employee,origin,founder,company,com_year
nguyengrey,Grey Nguyen,https://www.linkedin.com/in/nguyengrey/,https://www.linkedin.com/company/98923942/,Co-Founder & CEO,2023 - Present,"New York, United States",98923942,Bevel,"Bevel is a comprehensive approach to improving health, longevity, and performance.",Wellness and Fitness Services,Healthtech,"New York, New York",New York,New York,United States,1K followers,2-10 employees,Vietnam,[Grey Nguyen](https://www.linkedin.com/in/nguyengrey/),[Bevel](https://www.linkedin.com/company/98923942/),2023
kendrick-nguyen-7145bb5,Kendrick Nguyen,https://www.linkedin.com/in/kendrick-nguyen-7145bb5/,https://www.linkedin.com/company/10650455/,Founder/Co-CEO,Apr 2016 - Present,New York City,10650455,Republic,,Financial Services,Fintech,"New York, NY",New York,New York,United States,35K followers,201-500 employees,Vietnam,[Kendrick Nguyen](https://www.linkedin.com/in/kendrick-nguyen-7145bb5/),[Republic](https://www.linkedin.com/company/10650455/),2016
kenneth-lou,Kenneth Lou,https://www.linkedin.com/in/kenneth-lou/,https://www.linkedin.com/company/90764576/,Co-Founder & CEO,Sep 2022 - Present,"New York, United States",90764576,Mito Health,Cutting-edge diagnostics with an AI doctor dedicated to monitoring and optimizing your health,Hospitals and Health Care,Healthtech,"San Francisco, California",New York,New York,United States,7K followers,2-10 employees,Singapore,[Kenneth Lou](https://www.linkedin.com/in/kenneth-lou/),[Mito Health](https://www.linkedin.com/company/90764576/),2022
joelkek,Joel Kek,https://www.linkedin.com/in/joelkek/,https://www.linkedin.com/company/90764576/,Co-Founder & CTO,Sep 2022 - Present,,90764576,Mito Health,Cutting-edge diagnostics with an AI doctor dedicated to monitoring and optimizing your health,Hospitals and Health Care,Healthtech,"San Francisco, California",San Francisco,California,United States,7K followers,2-10 employees,Singapore,[Joel Kek](https://www.linkedin.com/in/joelkek/),[Mito Health](https://www.linkedin.com/company/90764576/),2022
fauzanrezamaulana,Fauzan Reza Maulana,https://www.linkedin.com/in/fauzanrezamaulana/,https://www.linkedin.com/company/89560630/,Co-Founder & CGO,Apr 2024 - Present,"San Francisco, California, United States",89560630,CoffeeSpace,AI-powered matching for cofounders & early hires. Featured on TechCrunch & Tech in Asia. Proudly part of StartX S25.,Social Networking Platforms,Professional Networking,"San Francisco, California",San Francisco,California,United States,6K followers,2-10 employees,Indonesia,[Fauzan Reza Maulana](https://www.linkedin.com/in/fauzanrezamaulana/),[CoffeeSpace](https://www.linkedin.com/company/89560630/),2024
caringan,Carin Gan,https://www.linkedin.com/in/caringan/,https://www.linkedin.com/company/89560630/,Co-Founder & CTO,Jan 2024 - Present,,89560630,CoffeeSpace,AI-powered matching for cofounders & early hires. Featured on TechCrunch & Tech in Asia. Proudly part of StartX S25.,Social Networking Platforms,Professional Networking,"San Francisco, California",San Francisco,California,United States,6K followers,2-10 employees,Malaysia,[Carin Gan](https://www.linkedin.com/in/caringan/),[CoffeeSpace](https://www.linkedin.com/company/89560630/),2024
quangcuongpham,Pham Quang Cuong,https://www.linkedin.com/in/quangcuongpham/,https://www.linkedin.com/company/11840820/,Co-founder & CEO,May 2018 - Present,Singapore,11840820,Eureka Robotics,Democratizing High Accuracy – High Agility automation,Robotics Engineering,Robotics,"Atlanta, Georgia",Atlanta,Georgia,United States,6K followers,51-200 employees,Vietnam,[Pham Quang Cuong](https://www.linkedin.com/in/quangcuongpham/),[Eureka Robotics](https://www.linkedin.com/company/11840820/),2018
daryllimyq,Daryl Lim,https://www.linkedin.com/in/daryllimyq/,https://www.linkedin.com/company/30221497/,Co-Founder and CEO,Nov 2019 - Present,,30221497,Augmentus Robotics,"Leader in AI-Powered Robotic Solutions for Surface Finishing, Coatings and Welding",Automation Machinery Manufacturing,Robotics,"Austin, Texas",Austin,Texas,United States,6K followers,51-200 employees,Singapore,[Daryl Lim](https://www.linkedin.com/in/daryllimyq/),[Augmentus Robotics](https://www.linkedin.com/company/30221497/),2019
derrickk,Derrick Ko,https://www.linkedin.com/in/derrickk/,https://www.linkedin.com/company/6580121/,CEO & Co-founder,Aug 2021 - Present,,6580121,Matchday,Building games for five billion ⚽ fans. Join us ➡️ https://matchday.com/champions,"Technology, Information and Internet",Gaming,"San Francisco, California",San Francisco,California,United States,2K followers,11-50 employees,Singapore,[Derrick Ko](https://www.linkedin.com/in/derrickk/),[Matchday](https://www.linkedin.com/company/6580121/),2021
mynameisdesmond,Desmond Lim,https://www.linkedin.com/in/mynameisdesmond/,https://www.linkedin.com/company/10180844/,CEO & Co-Founder,Sep 2017 - Present,San Francisco Bay Area,10180844,Workstream,"The modern, all in one Payroll, HR and Compliance solution for restaurants",Software Development,HR Tech,"San Francisco, California",San Francisco,California,United States,19K followers,201-500 employees,Singapore,[Desmond Lim](https://www.linkedin.com/in/mynameisdesmond/),[Workstream](https://www.linkedin.com/company/10180844/),2017
